level_0,level_1,0
V101,V95,0.9995942893533952
V279,V293,0.9995681981831416
C12,C7,0.9994888253007479
V101,V293,0.9989179828685545
V103,V97,0.998788602984852
V279,V95,0.9987089664555586
V280,V295,0.9986233741736803
V293,V95,0.9984740672659808
V101,V279,0.9984523939697098
V132,V316,0.9972213726362457
V102,V96,0.997104228725845
C10,C8,0.9969699489928907
C1,C11,0.9965147332620219
V103,V134,0.9957349415441473
V101,V132,0.995637228492704
V102,V133,0.9956152497095653
V132,V95,0.9952581709642728
C1,C2,0.9950894591945199
V132,V293,0.9945664179745397
V132,V279,0.9941810128914961
V134,V97,0.9940221335672325
C11,C2,0.9938978018461159
V293,V316,0.9938413903957439
V279,V316,0.9935257006699503
V101,V316,0.9931508742809667
V316,V95,0.9927270429903627
V133,V96,0.9923257910279172
V127,V133,0.9922611079175392
V134,V318,0.9921660500937048
V295,V318,0.991884491500008
V126,V306,0.9918495844665457
V307,V317,0.9917226827428527
V102,V103,0.9915155476204757
V17,V18,0.9914739414432473
V128,V134,0.9913553626895825
V133,V134,0.991130574625562
C11,C6,0.9911048342730272
V96,V97,0.9907965752070017
V308,V318,0.9907224805124318
V103,V96,0.990676447435938
V280,V318,0.9906477374228628
V296,V298,0.9899989326850063
V102,V134,0.9897638004067728
V280,V97,0.989135534806584
V127,V128,0.9889742692299368
V128,V308,0.9887509784362196
V102,V97,0.9885334373703464
V126,V132,0.9883483334718852
V103,V295,0.9883453013990696
V134,V96,0.988272649579533
V103,V280,0.988209446702117
V127,V96,0.9878743041789707
V306,V316,0.9877665180808443
V103,V318,0.9876286850871179
V295,V97,0.9870501885825577
V15,V16,0.9867266097843909
V102,V127,0.9865696580519743
V128,V97,0.9862337974863988
V31,V32,0.9862010299170247
DT_M,TransactionDT,0.9861957902280291
V318,V97,0.9858306421697017
V103,V133,0.9856718467276128
V103,V128,0.9855036957325681
V126,V316,0.9854753910142712
V127,V134,0.9850697566000572
C10,C7,0.9850616676486351
V132,V306,0.9846227433453036
V134,V295,0.9842296439438045
C14,C6,0.9842010703541241
C10,C12,0.983816946829328
V134,V280,0.983686629316202
V133,V318,0.9835307953191029
V128,V318,0.9834423595704902
V294,V317,0.9831190564168347
V134,V308,0.9830756272087519
C12,C8,0.9830271643364858
C7,C8,0.9829833764568252
V280,V308,0.9824757809746847
V133,V97,0.9824073095576605
C1,C6,0.9822377721825558
V126,V95,0.9819970094932835
V102,V318,0.9818658320488345
V101,V126,0.9811803824060593
V295,V308,0.9810413914742477
V126,V279,0.9806907947461482
V280,V96,0.9805963725932836
V128,V133,0.9805901517658646
V279,V306,0.9804621746968777
V318,V96,0.9802601986388898
V102,V295,0.9801096718822113
V126,V293,0.980068718514233
V293,V306,0.979535153852872
V306,V95,0.9794028476890823
V295,V96,0.9791501421378678
V127,V308,0.9791328497611216
V128,V96,0.9790067273991396
V101,V306,0.9788063874133424
V102,V280,0.9786193778945734
V103,V127,0.9785465181981463
V105,V298,0.9782804367060071
V127,V97,0.9780290337911406
V308,V97,0.9779771021034079
V102,V128,0.9777779829613045
V103,V308,0.9775697731859219
V127,V318,0.9773690777165278
V106,V299,0.9770185102377306
C2,C8,0.9758629919595193
V128,V280,0.9755830677419038
C2,C6,0.9748448481297468
C11,C4,0.9745466373188816
V133,V295,0.9743574570412992
V128,V295,0.9739808811467083
V27,V28,0.9730494092634631
V133,V308,0.9730441361279876
V133,V280,0.9726192537941439
C2,C4,0.9721337740594672
V295,V317,0.9715037949806644
V308,V96,0.971298664767037
V307,V308,0.9710688551472708
C10,C2,0.9706239087986924
V294,V307,0.9704651235135829
V102,V308,0.9704057786024565
V317,V318,0.9701845555411264
V10,V11,0.9686698705849479
V127,V280,0.9678736415470449
C1,C4,0.9678002004206735
C1,C8,0.9677463528723954
V48,V49,0.9677437626199875
V307,V318,0.967538584537814
V280,V317,0.967506895366198
V127,V295,0.9671413724828725
V295,V307,0.9665872736503485
V280,V307,0.9658698681257718
V291,V292,0.9654620580047478
V21,V22,0.9646272955078073
V71,V72,0.9638187798590421
V92,V93,0.9631077722879665
V57,V58,0.9629708818752588
V302,V304,0.9627862490536764
C11,C8,0.9627215780241115
C11,C14,0.9624645830773826
C4,C6,0.9623192744416322
V69,V70,0.9621340663385277
V105,V106,0.9609365896482912
C4,C8,0.9599954810742166
V105,V296,0.9598053203299598
V90,V91,0.9596916080377881
V33,V34,0.9592427673753908
V33,V94,0.9590208456986234
V15,V33,0.9587728085045221
V308,V317,0.958704446069529
C1,C10,0.9582021807487359
V29,V30,0.9579519306829705
V127,V307,0.9573856372166893
C10,C11,0.9560557324461291
V298,V299,0.955615010477836
V73,V74,0.9552638304002445
V133,V317,0.9545436257154575
V80,V81,0.9532232748969792
V59,V60,0.9532044377399389
C10,C4,0.9524664323612425
V133,V307,0.9522174578091989
V51,V52,0.952022121048869
V42,V43,0.9520015326705958
V17,V21,0.9518087273235959
C1,C14,0.951760999916324
V294,V295,0.9510356672582407
V105,V299,0.9507692948881236
V102,V317,0.9498345799621948
V102,V95,0.9486838002214041
V132,V133,0.9482070090891243
V102,V279,0.9479132145015166
V307,V96,0.9475556979689526
V127,V317,0.9468486811431038
V101,V102,0.9468054780450125
V317,V96,0.9465299381985501
V102,V307,0.9465217164606068
V128,V307,0.9464419281047273
V133,V95,0.9461871020560152
V280,V294,0.9460954323387267
V134,V317,0.9458994677060122
V102,V293,0.9458690305140768
V133,V316,0.9458197054027586
V133,V279,0.9454451220323236
V102,V132,0.9449258735425768
V134,V307,0.9448294040711939
V18,V21,0.9447544792233574
V101,V133,0.9445064526984022
V63,V64,0.9444497690710365
V39,V40,0.9438882808505255
V58,V72,0.9437134783704534
V16,V33,0.9436356741634686
V133,V293,0.9435678606110417
V105,V97,0.943495796985719
V57,V71,0.9431662874524493
V102,V316,0.9426660348029983
V132,V134,0.9422928375252847
V95,V96,0.9414428031527188
V103,V95,0.941031189296997
V134,V95,0.9410298335378396
V57,V73,0.9408981224479578
V279,V96,0.9404748167977324
V103,V317,0.9402593438099154
C12,C2,0.9402584325228747
V126,V127,0.940138957439525
V126,V128,0.940126002976802
V134,V279,0.9400109344310296
V103,V279,0.9399283306975015
